,text
0,pergunta muito séria: instalo o windows 11????
1,"as duas coisas que mais to animado no mundo da tecnologia desde o meio do ano passado

 - chegar o android 12 no meu celular
 - chegar os apps nativos de android no windows 11

e parece que ambos tão perto de acontecer agr"
2,"caro windows 11, 

vai tomar no cu"
3,I've just posted a new blog: Windows 11 Pro vai exigir conta Microsoft para configurar https://t.co/A7OtfWQNZG https://t.co/YTUH2mWtC9
4,Windows 11: função de arrastar e soltar está de volta em testes https://t.co/KAX4yLjRS9 https://t.co/IKTjoF2SaP
5,O Windows 11 de vocês também tem bugs?
6,pq q é q instalei o windows 11 é mesmo meh
7,Windows 11: função de arrastar e soltar está de volta em testes https://t.co/mynKH4rPxN https://t.co/ZQf8YCT7tg
8,amando a atualização do windows 11
9,Esse Windows 11 tá bonito demais!
10,esse windows 11 ta uma PORRA
11,Windows 11 motivos pra mamar a minha rola
12,"@rochacbruno 1. 9 anos no DOS seguido de Win 3.11
2. 14 anos com um Pentium rodava windows 95
3. 18 anos, um Athlon com windows XP
4. 16 anos, um Pentium 3 com windows 98 e modem 56k (mas mexia na internet na minha vó uns 2 anos antes, jogando uns Diablo e batendo papo no uol HAAHHA)"
13,falar aqui que odiei o Windows 11 pprt
14,Que sos ? Windows 11?
15,"Windows 11 é legal, bonito, etc. Mas quando vc faz um downgrade para o Windows 10 percebe o quão mais estável e rápido é o Windows 10."
16,@mangarosza @ararazzul Vá para o inferno windows 11
17,"1. Em 1985 o meu primo tinha um TK 85, um mini computador que ligava na TV e gravava dados em fita cassete.

2 e 3. Em 1995 comprei um PC 486 DX2-66 com 8 megas de RAM e Windows 3.11.

4. Na minha infância não existia internet. https://t.co/OdAskN934P"
18,Medida foi tomada pela Microsoft para buscar adesão de um público ainda desconfiado do desempenho do Windows 11 nos games. Confira os detalhes. https://t.co/Fiz8rGFb9W
19,"Notebook Lenovo Ultrafino IdeaPad 3i, Intel Core i3 10110U, 4GB RAM, 256GB SSD, Windows 11, Tela 15.6"" HD 

R$ 2.696,07 à vista
R$ 2.899,00 até 10x sem juros

Link: https://t.co/PKFGenQ5xg https://t.co/esP0Na3akO"
20,Três dias usando o Windows 11 e não vejo a hora de fazer o downgrade pro 10.
21,"Updates do Windows 11 melhoram experiência de jogar no PC

O Windows 11 irá receber diversas melhorias que visam aprimorar, de maneira geral, a experiência de jogar no PC. Além do aplicativo do Xbox para calibrar o sistema HDR em monitores compatíveis, o… https://t.co/GKsm9ikY5C"
22,Windows 11 horrível horrível horrendo horroso
23,"1 - 5 - joguei campo minado no trabalho do pai kkkk
2 - 6 - preto e branco com windows 3.11
3 - 10 - windão 98
4 - sim, discada dos 10 as 14 anos (quando todo mundo ja tinha DSL) https://t.co/j6l8ZlxZ6I"
24,depois que meu notebook atualizou pra windows 11 nunca mais consegui usar...
25,Chrome OS Flex do Google tem como base o Linux e pode se tornar uma grande ameaça ao Windows 11 https://t.co/uJHweIUXlt
26,Ok talvez a Microsoft tenha acertado e muito no design do Windows 11 e talvez eu esteja gostando muito de usar esse sistema
27,"Notebook Lenovo Ideapad 3i, Intel Celeron N4020, 4GB Ram, 128GB SSD, Tela 15,6"" HD, Windows 11

R$ 2.277,57 à vista
R$ R$ 2.449,00 até 10x sem juros

Link: https://t.co/mTIggxDHym https://t.co/tqT7drpcu5"
28,medo de atualizar p windows 11 e meu pc ficar uma bomba
29,"@NayOlv Olá Nay, tudo bem? 😃 
Estamos felizes que o Windows 11 tenha agradado! 
Caso queira aprender mais, sobre os recursos e novidades, recomendamos que veja no artigo: https://t.co/qYwDhrq4B4. 😉 
Estamos à disposição!"
